Year,Player,Team,Rating
2024,Tua Tagovailoa,MIA,101.4
2023,Tua Tagovailoa,MIA,101.1
2022,Tua Tagovailoa,MIA,105.5
2021,Tua Tagovailoa,MIA,90.1
2020,Ryan Fitzpatrick,MIA,95.6
2019,Ryan Fitzpatrick,MIA,85.5
2018,Ryan Tannehill,MIA,92.7
2017,Jay Cutler,MIA,80.8
2016,Ryan Tannehill,MIA,93.5
2015,Ryan Tannehill,MIA,88.7
2014,Ryan Tannehill,MIA,92.8
2013,Ryan Tannehill,MIA,81.7
2012,Ryan Tannehill,MIA,76.1
2011,Matt Moore,MIA,87.1
2010,Chad Henne,MIA,75.4
2009,Chad Henne,MIA,75.2
2008,Chad Pennington,MIA,97.4
2007,Cleo Lemon,MIA,71.0
2006,Joey Harrington,MIA,68.2
2005,Gus Frerotte,MIA,71.9
2004,A.J. Feeley,MIA,61.7
